segment_573|Danh đưa tay bịt mũi, cố gắng đi thật nhanh để xua đi thứ mùi ám khí đó.
segment_574|Nhưng ngay khi vừa bước qua, gã chợt rùng mình vì cảm giác có cơn gió lạnh từ đâu thốc tới.
segment_575|Cơn gió xoáy vào gáy gã, đem theo làn hơi lạnh buốt như một bàn tay ma quái luồn vào cơ thể.
segment_576|Gái ốc toàn thân nổi lên.
segment_577|Gã hoảng hốt quay đầu lại, nhưng vẫn chỉ thấy người ăn mày lê lết những bước chân nặng nề.
segment_578|nề trên con đường vắng.
segment_579|Danh cứ thất sắc đứng nhìn theo, mãi cho tới khi cái bóng lưng còng còng kia phất sau một khúc cua, gã mới quay người cất bước.
segment_580|Nhưng vừa bước được hai bước, gã lại nhăn mặt bịt mũi, cúi xuống nhìn và nhận ra đôi giày vải mới mua với giá ba đồng bạc đang đạp lên một bãi phân trâu.
segment_581|Bực mình buông một tiếng chửi thề, gã lê chân tiến lại một khoảng ao gần đó tính gột rửa.
segment_582|Nhưng mới tiến sát đến bờ ao, một lần nữa, gã lại bị thu hút bởi một tiếng động lạ.
segment_583|Thanh âm lõm bõm như có người đang bơi dưới ao, ngay lập tức khiến gã phải ngẩng đầu lên.
segment_584|Bên kia bờ ao có một cây si um tùm cành lá, ba phần trùm ra mặt ao và dưới gốc si có một ngôi miếu thờ âm đã lạnh hương vơi lửa.
segment_585|Ngay khi vừa dõi mắt sang bên ấy, gã nhận ra tiếng đạp nước từ đó vang lên.
segment_586|Nhưng trên mặt ao không hề có làn sóng nào, dù là nhỏ nhất.
segment_587|Nhưng cũng gần như ngay lập tức, gã chợt cả kinh há hốc mồm, ngã ngồi ra sau khi thấy bóng dáng của kẻ ăn mày ban nãy đã đứng lù lù ở đó từ bao giờ.
segment_588|Con sen buông chổi, ngẩng mặt lên nhìn chủ.
segment_589|Ông ơi, ông làm sao thế? Sao mặt mày của ông tái mét thế kia, hay là ông trúng gió rồi? Mùa này lắm gió độc lắm ạ.
segment_590|Sau lưng kẻ ăn mày này còn một bóng người khác, dáng dấp nom rất quen, thân thể cũng rách dưới, đứng trong tư thế gục đầu, im lìm như một cái bóng.
segment_591|Người ăn mày chầm chậm giơ cánh tay khô gầy, hướng về phía gã rồi vẫy vẫy.
segment_592|Đối diện với tình cảnh này, một cỗ cảm giác rùng rợn chợt giấy lên trong tâm khảm.
segment_593|Danh lùi dần lùi dần lên trên con đường đất, rồi cứ thế rảo chân tiến thẳng về nhà, không dám cả quay lại sau.
segment_594|Về tới nhà, gã đẩy cổng và đi vội vào trong.
segment_595|Thấy con sen đang quét sân, gã tháo vội đôi giày, ném cho nó rồi bảo.
segment_596|Sen ơi, mày pha cho tao một ấm trà, pha thật đặc vào.
segment_597|Thấy nét mặt gã biến sắc xanh sao, đôi mắt không giấu được nỗi kinh sợ, khác xa với vẻ điềm đạm thường ngày, con sen thấy lạ vội hỏi.
segment_598|Danh ậm ờ xua tay.
segment_599|Dáng chiều tà cuối cùng cũng đã biến mất, bóng đêm từ hướng dãy núi trước nhà đã non men tìm tới, phủ đến từng đám cây cối trong nhà, họa lên một khung cảnh tranh tối tranh sáng vô cùng ảm đạm.
segment_600|Tao có gió máy gì đâu, bảo mày đi pha trà thì mày pha nhanh lên, còn đứng đó mà ý kiến gì.
segment_601|Con Sen líu díu vâng dạ, cầm theo đôi giày dơ bẩn và đi nhanh xuống bếp.
segment_602|Còn lại một mình, danh đi vội lên nhà trên, hạ mình ngồi xuống sập, trong đầu cứ bần thần nghĩ tới hình ảnh quái đản ban nãy.
segment_603|Ngồi bần thần một lúc, danh mới đứng lên, rậm bước tính tiến vào buồng kiếm cái tẩu thuốc.
segment_604|Nhưng vừa bước chân qua cửa buồng, gã chợt hoảng kinh nhìn xuống.
segment_605|Trong chút ánh sáng le lói cuối cùng còn sót lại, gã khiếp đảm khi thấy mình đang đạp lên nửa thân trên của một con rắn hổ mang.
segment_606|Hình ảnh này gợi nhớ đến nửa con rắn đã bị tái chặt đứt đôi trên mả của bà cụ nhâmm cách đây đúng 100 ngày.
segment_607|Và trong khi gã còn đang á khẩu vì sợ thì bất thình lình, con rắn vặn mình, phùng mang há mồm.
segment_608|Bập một phát vào chân gã.
segment_609|Danh hoảng hốt rú lên, ngã ngửa ra sau, hai chân đạp loạn xạ rồi bò lết ra ngoài cùng tiếng kêu cứu thất thanh.
segment_610|Ở dưới bếp nghe tiếng la như cắt tiết của chủ, con sen hoảng hốt lao lên, thấy chủ mình đang bò lết ra ngoài cửa, con sen khiếp đảm rìu chủ lên, mặt biến sắc hỏi.
segment_611|Ôi ôi, ông ơi, ông làm sao thế này?"
segment_612|Danh bấu chặt lấy tay con sen, cuống quýt trỏ tay vào cẳng chân mình rồi nói đến lạc giọng.
segment_613|Cựu cựu cựu cứu tao, có rắn độc cắn tao, cứu tao."
segment_614|Con Sen nghệt mặt nhìn vào cẳng chân không một vết thương của ông chủ, rồi ngơ ngác hỏi.
segment_615|"Ông ơi, làm gì có vết rắn cắn nào? Hay là ông bị quáng gà nhìn nhầm?"
segment_616|Danh hoảng kinh trỏ tay vào trong buồng, nói trong hơi thở hổn hển.
segment_617|Nó nó nó nó nó nó ở cửa buồng."
segment_618|Con sen buông chủ, cẩn trọng tiến lại xem, trong khi danh tái mặt giơ cẳng chân lên trước mắt mình nhìn kỹ, nhưng quả thật, gã ú ớ cứng họng khi thấy lời con sen nói không sai.
segment_619|Danh xua tay cho nó lui, rồi lại tần thờ ngồi nhìn ra sân.
segment_620|Ngồi được mặt một lúc trong gian nhà im ắng.
segment_621|Trên cẳng chân không hề có vết răng cắn nào, và trong khi gã còn đang bần thần hồ nghi thì con sen đã trở ra, trên tay là một đoạn dây thừng.
segment_622|Nó chỉa đoạn dây lại trước mặt gã rồi bảo.
segment_623|Bẩm ông, con đã xăm soi hết trong buồng rồi, chẳng có con rắn nào cả, có mỗi một đoạn dây từng này thôi, chắc là ông nhìn gà hóa cuốc rồi đấy ạ."
segment_624|Danh hồn hển đứng dậy, run run bảo, "
segment_625|Mẹ kiếp, đem đốt nó đi, làm tao tưởng mình vỡ tim chết rồi."
segment_626|Con xen vâng dạ, đem sợi dây thừng xuống bếp, lát sau bưng lên một ấm trà đặc sánh.
segment_627|Rót xong cho chủ một bát, con sen xin phép đi nấu cơm.
segment_628|Con trăng đã dần lên, màn trời đã chuyển sang sắc đen sẫm và đám gia nô cũng đã ng trâu về lại nhà.
segment_629|Danh mới đứng dậy khêu đèn.
segment_630|Đêm nay gã cảm thấy có thứ gì đó rất lạ, cứ quấn lấy thân mình như một cái bóng lẽo đẽo theo sau.
segment_631|Bóng nó vừa khuất sau hông nhà, danh mới mệt nhọc ngẩng mặt lên nhìn trời.
segment_632|Vậy nên có bao nhiêu đèn dầu, gã đều vặn to hết cỡ.
segment_633|Nhưng trong thoáng chốc, giác quan thứ sáu mách bảo gã, có ai đó cứ đứng ở hông nhà nhìn mình đăm đăm.
segment_634|Được một lúc, mâm rượu thịt ê hề cũng được dọn lên.
segment_635|Nhưng đêm nay, tâm trí danh còn mãi suy nghĩ về chuyện khác nên chỉ đụng đũa đôi ba gắp, gã đã bỏ dở.
segment_636|Gọi con sen lên trên nhà dọn mâm, danh mệt nhọc tiến ra khoảng sân trước nhà.
segment_637|Hạ mình ngồi xuống cái trõng tre kê sát hò non bộ.
segment_638|Con sen bưng mâm cơm ra, thấy thịt cá còn nguyên, nó e rẻ hỏi,
segment_639|Ông ơi, ông cho chúng con mâm cơm này nhé, đổ đi uổng phí quá."
segment_640|Danh ậm ừ xua tay cho nó lui, nhưng đột nhiên gã lại dục.
segment_641|Mày bảo thằng kha, nó đi đóng kỹ cổng cửa cho tao.
segment_642|Độ này trộm cắp nhiều lắm, cẩn thận vẫn không thừa đâu."
segment_643|Con Sen vâng dạ gật đầu, rồi hí hửng bê mâm cơm xuống nhà ngang.
segment_644|Trong đầu, Đinh Ninh con sen có việc gì định hỏi, danh lên giọng kẻ cả theo thói quen.
segment_645|Mày bảo thằng kha đi đóng lại cổng cửa cho tao chưa, còn đứng đấy mà làm gì?"
segment_646|Không nghe tiếng đáp lại, danh tính quay lại quát con sen, bỗng dưng gã giật mình vì chẳng thấy có ai.
segment_647|Hoảng hông nhà im ắng vắng phắc, chỉ có tiếng gió xe sắt từ vườn sau mang theo âm hưởng rợn người hồi sộc về.
segment_648|Danh hồ nghi trong lòng,
segment_649|đưa tay bóp chán như để trấn an bản thân.
segment_650|Nhưng vừa gục mặt nhìn xuống gầm trõng thì hỡi ôi, danh lại giật bắn mình khi nghe tiếng rên hừ hừ như người cảm mạo và có cả tiếng khóc rưng rức vang lên.
segment_651|Danh chưa kịp định thần thì một cảnh tượng kinh hoàng đập trọn vẹn vào nhãn quan.
segment_652|Vì từ dưới gầm trõng có một gương mặt trắng nhợt, đôi mắt khép hờ và khoang miệng hơi há đang chầm chậm thò ra, đối diện thẳng với gã.
segment_653|Danh cả kinh bật ngửa khỏi trõng, cuống cuồng kinh hãi dụi mắt nhìn lại, thì bóng người nằm dưới gầm trõng đã biến mất và tiếng khóc ngằn ngặt mới vừa cất lên cũng im luôn.
segment_654|Lãng chẳng hiểu sự gì, nhưng vẫn vâng dạ làm theo lời chủ.
segment_655|Chỉ còn lại khoảng sân gạch im ắng trong sắc trăng đêm.
segment_656|Đả kích vừa giờ làm gã đâm hoảng loạn.
segment_657|Gã chạy tọt xuống nhà ngang, gọi ngay một thằng zaô đang ngồi ăn cơm trong đó.
segment_658|Lãng đâu, đêm nay mày lên trên nhà ngủ canh cho tao."
segment_659|Lãng đang bốc nắm thịt tọng vào họng, nghe thấy thế thì ngơ ngác nhìn chủ.
segment_660|Mấy đứa đầy tớ cũng e rèn nhìn nhau, vì trước nay danh không cho phép zaô bén mảng vào trong nhà, trừ lúc dọn mâm hay là quét tước.
segment_661|Lãng nhồm nhoàm nhai, trợn trựa nuốt vội rồi quẹt miệng hỏi.
segment_662|Bẩm ông, đợi con ăn xong mâm cơm rồi con xin lên canh ngay ạ."
segment_663|Danh nói trong nỗi hoảng kinh khi mồ hôi đã túa ra, ướt đẫm cái áo cánh mỏng.
segment_664|"Cơm cháo gì hết, bỏ đấy lên nhà với tao."
segment_665|Nhớ kêu thêm một cái đuốc và đốt thật sáng, nhanh lên."
segment_666|Đêm nay có đứa zaô thân cận bên cạnh mình, danh mới cảm thấy yên tâm phần nào.
segment_667|Thời gian cứ thế nặng nề trôi qua.
segment_668|Bên trong buồng, Danh đã leo lên giường nằm, trong khi lãng trải chiếu nằm ngay dưới đất theo lệnh chủ.
segment_669|Này, mày bảo trên đời này có ma không?"
segment_670|Bó đuốc trong buồng mới được tầm thêm dầu hôi nên vẫn ngùn ngụt cháy, soi tỏ không một góc chết.
segment_671|Nằm rì rầm nói chuyện một lúc, danh buột miệng hỏi.
segment_672|Lãng suy tư mấy giây rồi gãi đầu.
segment_673|Con thất học từ bé nhưng cũng biết có ma đấy ông ạ.
segment_674|Trời đất có tối thì phải có sáng, có âm thì phải có dương, có người thì tất phải có ma.
segment_675|Ông đồ làng mình vẫn hay giảng như thế, nhưng con thấy bảo ma chỉ hiện ra nhát người, chứ chưa nghe thấy ma giết hại ai bao giờ."
segment_676|Danh ậm ừ gật đầu, đến lúc này gã đã thầm nhận ra hồn ma của bà cụ nhâmm đã đội mồ tìm về với mình.
segment_677|Nếu lời thằng za nô là đúng thì có thể vong ma ấy chỉ hiện ra trêu ghẹo, chứ chẳng thể làm hại.
segment_678|Dẫu thế thì danh vẫn cảm thấy dùng mình ớn lạnh.
segment_679|Dù trong lòng đã nhen nhóm cảm giác bất an, song gã vẫn nói cứng.
segment_680|Tao thì trước giờ không tin có ma.
segment_681|Cũng chưa từng gặp ma bao giờ.
segment_682|nếu như lời mày nói là đúng thì phải làm gì để xu ma đuổi quỷ?"
segment_683|Lãng ngồi bật dậy, tựa lưng vào vách, đoạn tỏ ra am hiểu tiếp lời.
segment_684|"Con nghe bảo ma quỷ sợ nhất là máu chó, tỏi tươi, cành dâu hay là nước giải trẻ con không ạ?"
segment_685|Thường nhà nào có nạn ma quỷ quấy quả, người ta thường treo cành dâu, bỏ tỏi dưới gối hay là dưới máu chó mực hoặc là nước tiểu trẻ con cạnh nhà.
segment_686|Ma quỷ thấy những thứ này có mà chạy xa cả trượng, cũng chả biết thực hư thế nào.
segment_687|Ranh ồ lên rồi trầm tư suy ngẫm.
segment_688|Suốt đêm đó, hai chủ tớ rì rầm trò chuyện, để rồi sáng hôm sau, cả hai cùng lăn ra ngủ.
segment_689|Ngay khi vừa tỉnh giấc, Ranh đã cho con tớ gái ra chợ mua về một sâu tỏi.
segment_690|Ra sau vườn bẻ cho gã một nắm cành dâu, lại mua cả máu chó mực để dưới quanh đất.
segment_691|Gã hy vọng những thứ này có thể xua đuổi vong ma, đừng để hiện ra thêm một lần nào nữa.
segment_692|Yên ổn trôi qua một tuần trăng.
segment_693|Quả đúng như lời thằng lãng nói, những sự việc kinh hoàng đã thôi tìm về.
segment_694|Ranh lại có thể quay lại nếp sinh hoạt như xưa.
segment_695|Vậy mà, đúng đêm trăng ngày 14 âm lịch tháng 10, gã lại gặp ma.
segment_696|Nhưng đợi một lúc cũng không nghe thấy gì.
segment_697|Lần này cảm giác kinh hoàng như được nhân lên vạn bội.
segment_698|Đêm đó, gã đã đưa một ả ca nương về nhà để ăn ngủ.
segment_699|Sau một hồi hùng hục đắm chìm trong sắc dục.
segment_700|Ranh khoác tạm bộ đồ lụa, tiến ra ngoài nhà, định tìm nước uống để giải cơn khát.
segment_701|Nốc xong cốc nước, rít xong bi thuốc, ranh rậm bước tiến vào trong buồng.
segment_702|Nhưng mới vén mùng định chui vào, chợt gã giật bắn mình khi nghe ba tiếng gõ cửa dồn dập vọng tới tai.
segment_703|Cộc cộc cộc.
segment_704|Ranh thu mình lại rồi lặng người nghe xem có đúng là có tiếng gõ hay không?
segment_705|Bên trên giường, ả ca nương vẫn đang ở trần, khiêm thiết trong giấc ngủ.
segment_706|Ranh chép miệng tính rm lại mùng màn thì tiếng gõ cửa lại tiếp tục vang lên như chiêu ngươi.
segment_707|Ranh bò vội xuống giường, vừa tiến ra cửa chính vừa lèm bèm.
segment_708|Đứa nào đấy? Đứa nào mà đêm hôm gọi cửa thế?
segment_709|"Ông gọi chúng con có gì sai bảo ạ?"
segment_710|Trong thâm tâm gã yên trí là đám người ở nửa đêm tìm gặp có việc gì gấp.
segment_711|Bằng một giọng hồ nghi, ranh gặng hỏi.
segment_712|"Bà nãy chúng mày có đứa nào lên gõ cửa tìm tao không?"
segment_713|Nghĩ vậy, gã tiến lại, tháo cái the cửa gỗ rồi nhẹ nhàng mở cửa.
segment_714|Đám đầy tớ mắt nhắm mắt mở, ngơ ngác nhìn nhau rồi đồng thanh hô ứng.
segment_715|Tiếng bản lề khô dầu rỉ sét, kêu lên kèn kẹt.
segment_716|Ranh bước hẳn ra hàng hiên, mở to mắt nhìn xa xa.
segment_717|Dĩ nhiên không thấy ai.
segment_718|Sương vẫn dày đặc trong không gian mờ tối vì ánh trăng trung tuần, tám phần đang lẫn trong tầng tầng lớp lớp mây đen.
segment_719|"Quái lạ, rõ ràng có tiếng gõ cửa mà nhỉ?"
segment_720|Ranh lẩm bẩm một mình, sau đó mạnh dạn bước hẳn ra.
segment_721|Đứng lại một lúc ở ngoài sân cũng không thấy động tĩnh gì.
segment_722|Sinh nghi, gã mới đi nhanh xuống dãy nhà ngang, nơi đám gia nô ngày thường ăn ở sinh hoạt và gọi.
segment_723|Mấy đứa đầy tớ đang trải chiếu nằm ngủ dưới đất.
segment_724|Nghe thấy tiếng chủ thì vội vàng tỉnh dậy.
segment_725|Một gã mau mồm.
segment_726|"Dạ bẩm không ạ."
segment_727|Ranh căn vặn.
segment_728|Thấy đám gia nô nhất mực gật đầu.
segment_729|"Có chắc không?"
segment_730|Bà bếp gật đầu xác nhận.
segment_731|Ranh cũng vội quay lên nhà trên cùng một cảm giác bất an nhen nhóm trong tâm khảm.
segment_732|"Bẩm ông, con đi nằm nhưng kỳ thật còn đương thức, chắc chắn chúng nó chưa có ai rời khỏi nhà ngang ra ngoài.
segment_733|Mà con có nghe thấy tiếng gì đâu ạ?
segment_734|Hay là ông mơ ngủ tưởng tượng ra?"
segment_735|Ranh bần thần trong dòng suy nghĩ.
segment_736|Rõ ràng chính tai gã đã nghe thấy tiếng gõ.
segment_737|Không phải một mà tận hai lần thì nhầm làm sao?
segment_738|Dẫu thế thì gã vẫn đánh trống lảng.
segment_739|"Ừ, tao chỉ hỏi thế thôi.
segment_740|Cổng cửa chúng mày cài the kỹ rồi hả?"
segment_741|Đi vội lên nhà trên.
segment_742|Còn đang bần thần suy ngẫm thì đột nhiên có tiếng phành phạch như tiếng đập cánh từ đám cây xoài trước cổng vang lên, thu hút sự chú ý của gã.
segment_743|Ranh đứng khựng lại, căng mắt nhìn xuyên qua màn sương mờ, mất độ 10 nhịp thở sau, gã mới nhận ra.
segment_744|Có một con cú mèo từ lúc nào đã bay tới, đậu trên cành xoài chìa vào trong vườn.
segment_745|Rùng mình nhớ tới con rắn trên mặt đất hôm nào, ranh khiếp đảm đi giật lùi, tính chạy tót vào nhà, nhưng mới tới cửa chính, gã chợt lạnh sống lưng khi nghe bên trong nhà có tiếng rít thuốc lào xoành xoạch.
segment_746|Con cú tung mình vỗ cánh lên cao, bay vụt qua đầu gã và thả xuống một thứ gì ngoằn ngoèo, nằm quằn quại trên sân.
segment_747|Như sợ gã không phát hiện ra, con cú mèo vỗ cánh bay sát tới hòn non bộ, nghển cổ gào lên ba tiếng eng éc rất chói tai.
segment_748|Giữa đêm trường tĩnh mịch, tiếng cú mèo gào lên ai oán.
segment_749|Làm gã khẽ bùn rủn chân tay.
segment_750|Rút nhanh một chiếc guốc dưới chân, gã nhắm con cú mèo rồi ném mạnh.
segment_751|Lấy hết can đảm tiến lại gần.
segment_752|Ngay lập tức toàn thân gã nổi dựng gai ốc khi nhận ra thứ vật ấy chính là nửa thân dưới của một con rắn hổ còn tươi nguyên.
segment_753|Cùng với đó, có tiếng rócc rách như ai đó đang ngồi rót trà.
segment_754|Lấy hết can đảm ghé mắt vào trong, gã ú ớ thất kinh khi thấy một bóng người, toàn thân lấm lem bùn đất, mặc bộ đồ tối màu.
segment_755|Thành ra tiếng rú chỉ bật ra vô lực.
segment_756|đang ngồi lù lù ở bàn uống nước, quay lưng vào hướng gã.
segment_757|Ranh ú ớ cứng họng, vô tình khiến cánh cửa hé ra lớn hơn.
segment_758|Tiếng kẹt ngân dài của bản lề làm kinh động kẻ kia, khiến ngay lập tức cái đầu bắt đầu cử động.
segment_759|Và ngay khi đối diện với thân ảnh đó, Ranh đã đái ướt đẫm quần vì nhận ra gương mặt người chết đang ngồi trong nhà mình, không ai khác ngoài tái, kẻ đã bị gã đập cho toác đầu và chôn sống cách đây gần 4 tháng.
segment_760|Tái ngồi đó trong màn sương mới vừa bủa vây, ngước đôi mắt trắng dã nhìn ranh.
segment_761|Theo mỗi nhịp bập bẹ của đôi môi, từng đám giòi bọ và run đất không ngừng túa ra từng búi, rơi lã trã đầy mặt bàn.
segment_762|Ranh khiếp đảm rú lên trong nỗi kinh sợ, nhưng cổ họng như bị ai đó bóp chặt.
segment_763|Đúng lúc đó, hồn ma của tái biến mất.
segment_764|Màn sương trắng cũng tan đi như chưa từng xuất hiện và ngọn đèn dầu tưởng như sắp tắt, nay lại sáng rực lên.
segment_765|Nhưng ngay lúc đó, chợt danh cảm nhận rõ có ba giọt nước rơi vào trán gã.
segment_766|Theo phản xạ tự nhiên, gã run rẩy giơ tay quệt và đưa lại gần đôi mắt đang lạc thần.
segment_767|Ngay khi vừa thấy, gã lập tức gập người ói mửa vì thứ chất lòng ấy dính nhớp nháp và bốc mùi hôi thối tởm lợm.
segment_768|Tứ chi đã nhũn ra như cọng bún.
segment_769|Tâm thần hoảng loạn trong nỗi kinh hãi mơ hồ.
segment_770|Ranh ú ớ ngửa cổ lên, chỉ trong một giây, mặt gã tái xanh, mồm há ra tưởng như xệ cả quai hàm.
segment_771|Vì trên thanh xà gồ nơi hàng hiên, cách chỗ gã đứng chỉ mấy thước, xác bà cụ nhâmm đang treo lơ lửng trên đó như một con rơi.
segment_772|Hai chân bà cụ quắp chặt xà gồ, làm cái xác lộn ngược đầu, khuôn mặt phù vũng ngửa lên đối diện mặt gã.
segment_773|Từ hai hốc mắt với hai con ngươi đang lồi tướng, đùn ra cơ man, nào là giòi bọ.
segment_774|Và từ thân thể phù vũng đó, từng đám dịch nhầy nhụa khẽ rớt ra, bắn cả vào miệng gã.
segment_775|Ranh kinh hãi hét lên rồi bật dậy.
segment_776|Hai mắt đảo như rang lạc, mồ hôi túa ra, ướt đẫm tấm áo trẽn.
segment_777|Gã co rúm trong góc giường rồi hổn hển nhận ra chỉ là giấc mơ.
segment_778|Nhưng giấc mơ thật đến nỗi, gã vẫn nghe thoang thoảng mùi hôi thối còn vương trong không khí và căn buồng đêm nay như chìm trong cõi chết.
segment_779|Tiếng hét lớn đến thế mà ả ca nương vẫn trùm chăn ngủ như không hề nghe thấy.
segment_780|Quá hoảng sợ, ranh nhào tới nằm rúc vào thị, toàn thân run lên bần bật.
segment_781|Gã choàng tay ôm thị, cố gắng tìm kiếm chút an ủi cho trái tim đang quặn đau sau cơn ác mộng kinh hoàng.
segment_782|Nhưng đột nhiên, gã ú ớ rụt tay vì cảm nhận thân thể ả ta mềm nhũn như sợi bún, lại rữa nát như mít rớt.
segment_783|Cứ nhớp nháp như bùn non và bốc mùi thối khắm.
segment_784|Quá hoảng sợ, ranh đạp mạnh vào thân thể ấy rồi ngồi co rúm.
segment_785|Hai tay vò chặt đầu tóc.
segment_786|Có tiếng cười khùng khục vang lên trong đêm đen.
segment_787|Lại có cả tiếng khóc ai oán vọng về.
segment_788|Lẫn trong đó lại có tiếng rắc nặng nề vang lên.
segment_789|Tiếng cú mèo kêu eng éc bên ngoài màn đêm kéo danh choàng tỉnh lần hai.
segment_790|Gã vẫn thấy mình đang nằm trên giường, bên cạnh ả ca nương vẫn ôm quắp lấy gã với tấm thân lõa lồ.
segment_791|Ranh thở hổn hển, mặt đã tái xanh sau chuỗi ác mộng kinh hoàng.
segment_792|Gã khoác vội tấm áo, đi vội ra ngoài rồi ngồi thất sắc ở hàng hiên.
segment_793|Đôi mắt không giấu được nỗi kinh hoàng, đăm đăm nhìn ra khoảng không gian mờ sương trước mặt.
segment_794|Tiếng cú mèo vẫn văng vẳng gần xa như cố tình trêu ghẹo gã trong đêm ma ám.
segment_795|Nhưng còn chưa kịp hoàn hồn thì bỗng gã hoàng kinh khi nghe những tiếng răng rắc vang lên.
segment_796|Những tiếng ấy lúc đầu còn nhỏ, dần dần mỗi lúc một lớn hơn và gã khiếp kinh khi nhận ra đó là tiếng đinh gãy.
segment_797|Hệt như tiếng động lúc gã cùng tái dùng xà beng để bảy quan tài để khai quan.
segment_798|Và trong khi gã còn đang há hốc mồm vì sợ thì trong màn xương có hai thân ảnh lò dò đi vào.
segment_799|Hai cái bóng lúc tỏ lúc mờ, thân dạng tàn tạ với làn da trắng xanh đó.
segment_800|Không ai khác ngoài bà cụ Nhâm và thằng tái.
segment_801|Chỉ trong thoáng chốc, màn xương như dày lên, bủa vây lấy thân thể danh và như có một sức mạnh vô hình túm lấy cẳng chân gã lôi thật mạnh.
segment_802|Trong thoáng chốc, màn xương như tan đi, chỉ mười nhịp thở đã biến mất.
segment_803|Để lại danh lúc này chỉ là một cái xác vô hồn, nằm chết vẹo cổ, mặt mũi vặn vẹo, mắt mở trừng trừng, lạc thần lạc vía.
segment_804|Và trong khoang miệng gã còn đút nút một nắm đất bùn màu nâu, thứ đất chỉ có ở nghĩa địa làng, nơi mộ bà cụ Nhâm đã được xây gạch rất lớn.
segment_805|Quý vị và các bạn thân mến, có những cái giá phải trả không thể dùng tiền bạc để chuộc lại.
segment_806|Có những tội lỗi không chỉ bị phán xét ở nhân gian mà còn bị báo ứng bởi quỷ thần.
segment_807|Khi con người để lòng tham che mờ mắt, khi đạo đức bị chôn vùi dưới lớp đất lạnh, thì đó cũng là lúc số phận đã an bài.
segment_808|Một đêm mưa tăm tối, hai kẻ đào trộm mộ với hy vọng đổi đời, nhưng đâu ngờ chính tay chúng đã đào mồ chôn mình.
segment_809|Không ai có thể trốn thoát khỏi nghiệp báo, ác giả, ác báo, reo nhân nào gặt quả nấy, luật trời không chừa một ai.
segment_810|Câu chuyện đã khép lại, nhưng bài học vẫn còn vang vọng mãi, mong rằng sau khi nghe xong, mỗi chúng ta sẽ thấu hiểu sâu sắc hơn về luật nhân quả và đạo lý ở đời.
segment_811|Cảm ơn quý vị đã nghe truyện và đừng quên để lại một lượt like, chia sẻ và đăng ký kênh để ủng hộ kênh truyện cũng như toàn bộ ekip thực hiện truyện quý vị nhé.
segment_812|Sự ủng hộ của quý vị chính là động lực để kênh truyện mang đến nhiều câu chuyện hấp dẫn hơn.
segment_813|Còn bây giờ, Quỳnh Lam xin kính chào và hẹn gặp lại quý vị ở những câu chuyện tiếp theo.
segment_814|Hi, xin mến chào tất cả các bạn.
segment_815|Chào mừng các bạn đã quay trở lại với Better Version, kênh chia sẻ kiến thức phát triển toàn diện bản thân qua các cuốn sách hay.
segment_816|Bạn có công nhận với mình điều này hay không?
segment_817|Tình yêu là thứ vừa gần gũi nhất, cũng vừa xa vời nhất, vừa trừu tượng mà cũng vừa hiện thực.
segment_818|Chúng ta tôn thờ tình yêu và cũng sụp đổ vì yêu.
segment_819|Chúng ta trân quý tình yêu và cũng nghi ngờ tình yêu.
segment_820|Chúng ta cố gắng làm chủ tình yêu và cũng bị tình yêu đánh bại.
segment_821|Từ xưa đến nay muôn vàn câu hỏi thắc mắc về tình yêu chưa bao giờ ngừng nghỉ.
segment_822|Nếu bạn vẫn còn đang gặp rắc rối và tổn thương khi yêu.
segment_823|Nếu bạn vẫn còn đang hỏi làm thế nào trên con đường gắn kết với người khác, bạn có thể có một tình yêu bền lâu với một người nhưng không đánh mất chính mình và rốt cuộc thế nào mới là tình yêu đích thực.
segment_824|Thì bạn có thể tìm được câu trả lời trong cuốn sách kinh điển của nhà tâm lý học, xã hội học, triết gia nhân văn nổi tiếng người Mỹ gốc Đức Erich From, một trong những người đại diện của trường phái phân tâm học mới, trường phái văn hóa xã hội.
segment_825|Cuốn sách này mang tên nghệ thuật yêu.
segment_826|Nó là một sự kết hợp giữa triết học và tâm lý học, được coi là một trong những chuyên luận lý thuyết nổi tiếng về tình yêu.
segment_827|Nó được dịch ra 32 thứ tiếng, tuy xuất bản vào năm 1957 nhưng đến tận ngày nay nó vẫn có ảnh hưởng sâu sắc và giúp cho hàng triệu con người hiểu rõ bản chất của tình yêu.
segment_828|Nhiều người cho rằng muốn yêu thực lòng là phải đầu tư về thể chất và tinh thần.
segment_829|Nhưng tác giả Form tin rằng tình yêu không phải là thứ xúc cảm chỉ có vậy, mà còn đòi hỏi sự nỗ lực phát triển và thể hiện toàn bộ nhân cách của một người.
segment_830|Nếu một người muốn có tình yêu thực sự thì phải nỗ lực phát triển toàn diện nhân cách của mình và không ngừng thay đổi bản thân theo hướng tự giác ngộ.
segment_831|Với ông, tình yêu là một nghệ thuật.
segment_832|Tình yêu là một loại năng lực.
segment_833|Và ngày hôm nay, Better Vision sẽ đưa bạn khám phá nắm bắt loại năng lực nghệ thuật này và tìm hiểu bản chất thực sự của tình yêu là gì.
segment_834|Mong rằng cuốn sách này sẽ giúp bạn thoát khỏi những tổn thương trong tình yêu, giúp bạn có tư duy nền tảng để hiểu rõ bản thân, giải quyết những hiểu lầm, trở nên mạnh mẽ, làm chủ tình yêu và có một cuộc sống thực sự hạnh phúc.
segment_835|Rồi, bây giờ xin mời các bạn cùng lắng nghe.
